experiment,source_item,expected_match,has_match,model,sample_size,S11_predicted,S11_correct,S11_error_type,S11_response_time,S05_predicted,S05_correct,S05_error_type,S05_response_time,S18_predicted,S18_correct,S18_error_type,S18_response_time,S15_predicted,S15_correct,S15_error_type,S15_response_time,S20_predicted,S20_correct,S20_error_type,S20_response_time,S12_predicted,S12_correct,S12_error_type,S12_response_time,S14_predicted,S14_correct,S14_error_type,S14_response_time,S19_predicted,S19_correct,S19_error_type,S19_response_time,S16_predicted,S16_correct,S16_error_type,S16_response_time,S13_predicted,S13_correct,S13_error_type,S13_response_time,S17_predicted,S17_correct,S17_error_type,S17_response_time,S09_predicted,S09_correct,S09_error_type,S09_response_time,S10_predicted,S10_correct,S10_error_type,S10_response_time,S01_predicted,S01_correct,S01_error_type,S01_response_time,S07_predicted,S07_correct,S07_error_type,S07_response_time,S04_predicted,S04_correct,S04_error_type,S04_response_time,S08_predicted,S08_correct,S08_error_type,S08_response_time,S06_predicted,S06_correct,S06_error_type,S06_response_time,S03_predicted,S03_correct,S03_error_type,S03_response_time,S02_predicted,S02_correct,S02_error_type,S02_response_time
NHANES_Gemma3_27b,"butter, whipped, with salt",unsalted butter,True,gemma3-27b,1317,none,False,missed_match,4.672,unsalted butter,True,,6.351,unsalted butter,True,,11.086,unsalted butter,True,,2.436,unsalted butter,True,,7.609,unsalted butter,True,,6.668,unsalted butter,True,,7.524,unsalted butter,True,,11.577,none,False,missed_match,4.423,unsalted butter,True,,2.405,unsalted butter,True,,7.786,unsalted butter,True,,7.833,unsalted butter,True,,10.629,unsalted butter,True,,3.050,unsalted butter,True,,5.319,unsalted butter,True,,15.542,unsalted butter,True,,2.012,unsalted butter,True,,7.734,unsalted butter,True,,14.392,unsalted butter,True,,10.184
NHANES_Gemma3_27b,"blackberry juice, canned",none,False,gemma3-27b,1317,none,True,,1.869,none,True,,8.473,none,True,,5.684,none,True,,7.674,none,True,,3.748,none,True,,3.397,none,True,,3.398,none,True,,2.620,none,True,,3.782,none,True,,5.415,none,True,,0.546,none,True,,9.885,whole blackberry,False,false_positive,12.409,none,True,,7.355,whole blackberry,False,false_positive,12.455,whole blackberry,False,false_positive,5.406,whole blackberry,False,false_positive,7.005,whole blackberry,False,false_positive,10.258,whole blackberry,False,false_positive,7.008,whole blackberry,False,false_positive,12.581
NHANES_Gemma3_27b,"fish, mackerel, pacific and jack, mixed species, raw",none,False,gemma3-27b,1317,none,True,,0.897,none,True,,7.637,plant based fish fillet,False,false_positive,11.857,plant based fish fillet,False,false_positive,3.537,plant based fish fillet,False,false_positive,6.024,plant based fish fillet,False,false_positive,6.823,none,True,,2.955,plant based fish fillet,False,false_positive,13.211,none,True,,4.971,plant based fish fillet,False,false_positive,2.449,plant based fish fillet,False,false_positive,11.316,albacore white tuna,False,false_positive,3.541,albacore white tuna,False,false_positive,3.885,albacore white tuna,False,false_positive,7.238,albacore white tuna,False,false_positive,11.204,albacore white tuna,False,false_positive,7.139,albacore white tuna,False,false_positive,6.764,shrimp,False,false_positive,12.100,albacore white tuna,False,false_positive,2.407,albacore white tuna,False,false_positive,9.789
NHANES_Gemma3_27b,"beverages, ocean spray, cran-energy, cranberry energy juice drink",none,False,gemma3-27b,1317,none,True,,2.134,none,True,,3.327,none,True,,0.452,none,True,,1.631,none,True,,5.978,none,True,,4.875,none,True,,2.836,none,True,,2.066,none,True,,4.507,apple juice,False,false_positive,1.994,apple juice,False,false_positive,0.462,cranberry,False,false_positive,6.840,cranberry,False,false_positive,17.171,cranberry,False,false_positive,9.951,pulp free orange juice,False,false_positive,5.755,cranberry,False,false_positive,8.441,sprite,False,false_positive,13.176,pulp free orange juice,False,false_positive,5.007,sprite,False,false_positive,4.791,pulp free orange juice,False,false_positive,18.185
NHANES_Gemma3_27b,"mollusks, oyster, eastern, canned",none,False,gemma3-27b,1317,none,True,,1.810,none,True,,7.114,none,True,,9.115,none,True,,2.065,none,True,,7.803,shrimp,False,false_positive,3.428,none,True,,4.135,none,True,,13.122,none,True,,6.436,none,True,,1.950,none,True,,5.358,shrimp,False,false_positive,3.127,shrimp,False,false_positive,5.258,shrimp,False,false_positive,9.481,albacore white tuna,False,false_positive,10.548,shrimp,False,false_positive,11.517,shrimp,False,false_positive,8.198,albacore white tuna,False,false_positive,8.220,albacore white tuna,False,false_positive,4.349,albacore white tuna,False,false_positive,21.061
NHANES_Gemma3_27b,"babyfood, juice, pear",none,False,gemma3-27b,1317,none,True,,11.248,none,True,,5.543,none,True,,12.276,apple juice,False,false_positive,9.229,whole bartlett pear flesh only,False,false_positive,2.236,none,True,,11.651,none,True,,2.505,none,True,,2.324,none,True,,3.047,apple juice,False,false_positive,6.381,apple juice,False,false_positive,1.347,whole bartlett pear flesh only,False,false_positive,10.174,whole bartlett pear flesh only,False,false_positive,1.076,none,True,,10.696,whole bartlett pear flesh only,False,false_positive,7.609,whole bartlett pear flesh only,False,false_positive,6.641,pulp free orange juice,False,false_positive,9.297,pulp free orange juice,False,false_positive,8.705,whole bartlett pear flesh only,False,false_positive,6.696,pulp free orange juice,False,false_positive,9.413
NHANES_Gemma3_27b,"parsnips, cooked, boiled, drained, without salt",none,False,gemma3-27b,1317,none,True,,6.491,none,True,,4.713,none,True,,4.996,steamed russet potato flesh only,False,false_positive,4.235,none,True,,1.891,none,True,,4.949,none,True,,1.358,none,True,,4.524,none,True,,5.374,none,True,,1.378,steamed whole russet potato,False,false_positive,14.242,none,True,,12.518,steamed butternut squash,False,false_positive,17.473,whole apricot,False,false_positive,8.379,steamed russet potato flesh only,False,false_positive,8.642,steamed whole carrots,False,false_positive,8.025,steamed green zuchini,False,false_positive,12.705,whole grain brown lentils,False,false_positive,9.291,steamed whole carrots,False,false_positive,13.622,steamed russet potato flesh only,False,false_positive,1.084
NHANES_Gemma3_27b,"carbonated beverage, cream soda",none,False,gemma3-27b,1317,none,True,,4.319,none,True,,3.254,coca cola,False,false_positive,5.242,none,True,,5.943,coca cola,False,false_positive,4.735,none,True,,11.628,none,True,,3.736,coca cola,False,false_positive,12.198,none,True,,2.481,none,True,,2.198,coca cola,False,false_positive,4.673,coca cola,False,false_positive,2.580,budweiser,False,false_positive,2.407,budweiser,False,false_positive,8.863,coca cola,False,false_positive,8.277,coca cola,False,false_positive,9.093,coca cola,False,false_positive,12.726,budweiser,False,false_positive,11.923,budweiser,False,false_positive,5.348,coca cola,False,false_positive,11.517
NHANES_Gemma3_27b,"chicken, broilers or fryers, wing, meat and skin, cooked, stewed",none,False,gemma3-27b,1317,none,True,,7.844,none,True,,4.445,none,True,,5.308,chicken breast,False,false_positive,7.554,chicken breast,False,false_positive,6.088,chicken breast,False,false_positive,5.590,none,True,,5.633,chicken breast,False,false_positive,0.872,none,True,,3.125,none,True,,2.893,chicken strips,False,false_positive,10.049,low sodium chicken broth,False,false_positive,6.032,chicken breast tender,False,false_positive,1.556,chicken breast tender,False,false_positive,8.669,chicken breast tender,False,false_positive,13.125,pecan,False,false_positive,5.772,low sodium chicken broth,False,false_positive,2.267,low sodium chicken broth,False,false_positive,6.378,chicken breast tender,False,false_positive,14.350,low sodium chicken broth,False,false_positive,9.746
NHANES_Gemma3_27b,"ham, chopped, not canned",ground pork,True,gemma3-27b,1317,none,False,missed_match,7.573,none,False,missed_match,7.883,none,False,missed_match,5.569,ground pork,True,,2.181,none,False,missed_match,5.504,none,False,missed_match,3.282,none,False,missed_match,2.839,none,False,missed_match,5.960,none,False,missed_match,5.897,none,False,missed_match,6.795,none,False,missed_match,9.926,none,False,missed_match,4.384,plant based bacon strip,False,wrong_match,11.611,plant based bacon strip,False,wrong_match,6.013,plant based bacon strip,False,wrong_match,8.836,peanuts,False,wrong_match,13.734,plant based bacon strip,False,wrong_match,4.097,plantain banana (steamed 10 in),False,wrong_match,8.016,plant based bacon strip,False,wrong_match,11.515,plant based bacon strip,False,wrong_match,4.164
