input_desc,predicted_desc,source_file,target_desc,correct
"brussels sprouts, frozen, cooked, boiled, drained, without salt","brussels sprouts, frozen, cooked, boiled, drained, without salt",food_matches_801_to_1000.txt,"brussels sprouts, frozen, cooked, boiled, drained, without salt",True
rice and wheat cereal bar,rice and wheat cereal bar,food_matches_801_to_1000.txt,rice and wheat cereal bar,True
"ravioli, cheese with tomato sauce, frozen, not prepared, includes regular and light entrees","ravioli, cheese with tomato sauce, frozen, not prepared, includes regular and light entrees",food_matches_801_to_1000.txt,"ravioli, cheese with tomato sauce, frozen, not prepared, includes regular and light entrees",True
"candies, mars snackfood us, m&m's peanut chocolate candies","candies, mars snackfood us, m&m's peanut chocolate candies",food_matches_801_to_1000.txt,"candies, mars snackfood us, m&m's peanut chocolate candies",True
"fast foods, taco with chicken, lettuce and cheese, soft","fast foods, taco with chicken, lettuce and cheese, soft",food_matches_801_to_1000.txt,"fast foods, taco with chicken, lettuce and cheese, soft",True
"beverages, cocoa mix, powder","cocoa mix, powder",food_matches_801_to_1000.txt,"cocoa mix, powder",True
"candies, mounds candy bar","candies, mounds candy bar",food_matches_801_to_1000.txt,"candies, mounds candy bar",True
"mushrooms, canned, drained solids","mushrooms, canned, drained solids",food_matches_801_to_1000.txt,"mushrooms, canned, drained solids",True
"soup, onion, canned, condensed","soup, onion, canned, condensed",food_matches_801_to_1000.txt,"soup, onion, canned, condensed",True
"spices, nutmeg, ground","spices, nutmeg, ground",food_matches_801_to_1000.txt,"spices, nutmeg, ground",True
"cheese, swiss, low fat","cheese, swiss, low fat",food_matches_801_to_1000.txt,"cheese, swiss, low fat",True
"danish pastry, cheese","danish pastry, cheese",food_matches_801_to_1000.txt,"danish pastry, cheese",True
"candies, gumdrops, starch jelly pieces","candies, gumdrops, starch jelly pieces",food_matches_801_to_1000.txt,"candies, gumdrops, starch jelly pieces",True
"restaurant, latino, empanadas, beef, prepared","restaurant, latino, empanadas, beef, prepared",food_matches_801_to_1000.txt,"restaurant, latino, empanadas, beef, prepared",True
"cake, angelfood, dry mix, prepared","cake, angelfood, dry mix, prepared",food_matches_801_to_1000.txt,"cake, angelfood, dry mix, prepared",True
"creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, fat-free","creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, fat-free",food_matches_801_to_1000.txt,"creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, fat-free",True
"cereals, quaker, quaker multigrain oatmeal, dry","cereals, quaker, quaker multigrain oatmeal, dry",food_matches_801_to_1000.txt,"cereals, quaker, quaker multigrain oatmeal, dry",True
"pie, cherry, commercially prepared","pie, cherry, commercially prepared",food_matches_801_to_1000.txt,"pie, cherry, commercially prepared",True
"spices, cloves, ground","spices, cloves, ground",food_matches_801_to_1000.txt,"spices, cloves, ground",True
"alcoholic beverage, liqueur, coffee with cream, 34 proof","alcoholic beverage, liqueur, coffee with cream, 34 proof",food_matches_801_to_1000.txt,"alcoholic beverage, liqueur, coffee with cream, 34 proof",True
"candies, reese's pieces candy","candies, reese's pieces candy",food_matches_801_to_1000.txt,"candies, reese's pieces candy",True
"cookies, raisin, soft-type","cookies, raisin, soft-type",food_matches_801_to_1000.txt,"cookies, raisin, soft-type",True
"cookies, marshmallow, chocolate-coated (includes marshmallow pies)","cookies, marshmallow, chocolate-coated (includes marshmallow pies)",food_matches_801_to_1000.txt,"cookies, marshmallow, chocolate-coated (includes marshmallow pies)",True
"cereals ready-to-eat, kellogg, kellogg's, raisin bran crunch","cereals ready-to-eat, kellogg, kellogg's, raisin bran crunch",food_matches_801_to_1000.txt,"cereals ready-to-eat, kellogg, kellogg's, raisin bran crunch",True
"sweet potato, raw, unprepared (includes foods for usda's food distribution program)","rice, brown, long-grain, raw (includes foods for usda's food distribution program)",food_matches_801_to_1000.txt,"sweet potato, raw, unprepared",False
"strawberry-flavor beverage mix, powder","strawberry-flavor beverage mix, powder",food_matches_801_to_1000.txt,"strawberry-flavor beverage mix, powder",True
"cauliflower, frozen, cooked, boiled, drained, without salt","cauliflower, frozen, cooked, boiled, drained, without salt",food_matches_801_to_1000.txt,"cauliflower, frozen, cooked, boiled, drained, without salt",True
"wild rice, cooked","wild rice, cooked",food_matches_801_to_1000.txt,"wild rice, cooked",True
"fish, snapper, mixed species, raw","fish, snapper, mixed species, raw",food_matches_801_to_1000.txt,"fish, snapper, mixed species, raw",True
"cookies, fortune","cookies, fortune",food_matches_801_to_1000.txt,"cookies, fortune",True
"beef, brisket, whole, separable lean only, trimmed to 0"" fat, all grades, cooked, braised","beef, brisket, whole, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",food_matches_801_to_1000.txt,"beef, brisket, whole, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",True
"radicchio, raw","radicchio, raw",food_matches_801_to_1000.txt,"radicchio, raw",True
"biscuits, plain or buttermilk, refrigerated dough, higher fat, baked","biscuits, plain or buttermilk, refrigerated dough, higher fat, baked",food_matches_801_to_1000.txt,"biscuits, plain or buttermilk, refrigerated dough, higher fat, baked",True
"beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, select, raw","beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, select, raw",food_matches_801_to_1000.txt,"beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, select, raw",True
"pie crust, standard-type, frozen, ready-to-bake, enriched, baked","pie crust, standard-type, frozen, ready-to-bake, enriched, baked",food_matches_801_to_1000.txt,"pie crust, standard-type, frozen, ready-to-bake, enriched, baked",True
"restaurant, chinese, general tso's chicken","restaurant, chinese, general tso's chicken",food_matches_801_to_1000.txt,"restaurant, chinese, general tso's chicken",True
"grape leaves, raw","grape leaves, raw",food_matches_801_to_1000.txt,"grape leaves, raw",True
"beans, white, mature seeds, cooked, boiled, without salt","beans, white, mature seeds, cooked, boiled, without salt",food_matches_801_to_1000.txt,"beans, white, mature seeds, cooked, boiled, without salt",True
"beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, choice, raw","beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, choice, raw",food_matches_801_to_1000.txt,"beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, choice, raw",True
"tomato juice, canned, with salt added","tomato juice, canned, with salt added",food_matches_801_to_1000.txt,"tomato juice, canned, with salt added",True
"crackers, matzo, plain","crackers, matzo, plain",food_matches_801_to_1000.txt,"crackers, matzo, plain",True
"sour cream, fat free","sour cream, fat free",food_matches_801_to_1000.txt,"sour cream, fat free",True
"sauce, cocktail, ready-to-serve","sauce, cocktail, ready-to-serve",food_matches_801_to_1000.txt,"sauce, cocktail, ready-to-serve",True
"game meat, goat, cooked, roasted","game meat, goat, cooked, roasted",food_matches_801_to_1000.txt,"game meat, goat, cooked, roasted",True
"pork, fresh, variety meats and by-products, feet, cooked, simmered","pork, fresh, variety meats and by-products, feet, cooked, simmered",food_matches_801_to_1000.txt,"pork, fresh, variety meats and by-products, feet, cooked, simmered",True
"ravioli, cheese-filled, canned","ravioli, cheese-filled, canned",food_matches_801_to_1000.txt,"ravioli, cheese-filled, canned",True
"grapefruit juice, white, canned or bottled, unsweetened","grapefruit juice, white, canned, unsweetened",food_matches_801_to_1000.txt,"grapefruit juice, white, canned, unsweetened",True
"fast foods, hush puppies","fast foods, hush puppies",food_matches_801_to_1000.txt,"fast foods, hush puppies",True
"fast food, pizza chain, 14"" pizza, pepperoni topping, thin crust","fast food, pizza chain, 14"" pizza, pepperoni topping, thin crust",food_matches_801_to_1000.txt,"fast food, pizza chain, 14"" pizza, pepperoni topping, thin crust",True
"pork, fresh, shoulder, arm picnic, separable lean and fat, cooked, braised","pork, fresh, shoulder, arm picnic, separable lean and fat, cooked, braised",food_matches_801_to_1000.txt,"pork, fresh, shoulder, arm picnic, separable lean and fat, cooked, braised",True
"cookies, ladyfingers, with lemon juice and rind","cookies, ladyfingers, with lemon juice and rind",food_matches_801_to_1000.txt,"cookies, ladyfingers, with lemon juice and rind",True
"pie, egg custard, commercially prepared","pie, egg custard, commercially prepared",food_matches_801_to_1000.txt,"pie, egg custard, commercially prepared",True
"mollusks, mussel, blue, raw","mollusks, mussel, blue, raw",food_matches_801_to_1000.txt,"mollusks, mussel, blue, raw",True
"mollusks, clam, mixed species, raw","mollusks, clam, mixed species, raw",food_matches_801_to_1000.txt,"mollusks, clam, mixed species, raw",True
"candies, caramels, chocolate-flavor roll","candies, caramels, chocolate-flavor roll",food_matches_801_to_1000.txt,"candies, caramels, chocolate-flavor roll",True
"beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, cooked","beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, cooked",food_matches_801_to_1000.txt,"beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, cooked",True
"bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs","bread, cornbread, prepared from recipe, made with low fat (2%) milk",food_matches_801_to_1000.txt,"bread, cornbread, dry mix, prepared",False
"candies, mars snackfood us, 3 musketeers bar","candies, mars snackfood us, 3 musketeers bar",food_matches_801_to_1000.txt,"candies, mars snackfood us, 3 musketeers bar",True
"candies, kit kat wafer bar","candies, kit kat wafer bar",food_matches_801_to_1000.txt,"candies, kit kat wafer bar",True
"snacks, granola bars, soft, coated, milk chocolate coating, peanut butter","snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",food_matches_801_to_1000.txt,"snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",True
"cheese, swiss, low sodium","cheese, swiss, low sodium",food_matches_801_to_1000.txt,"cheese, swiss, low sodium",True
"beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, choice, raw","beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, choice, raw",food_matches_801_to_1000.txt,"beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, choice, raw",True
"snacks, pork skins, plain","snacks, pork skins, plain",food_matches_801_to_1000.txt,"snacks, pork skins, plain",True
"leavening agents, cream of tartar","leavening agents, cream of tartar",food_matches_801_to_1000.txt,"leavening agents, cream of tartar",True
"luncheon meat, pork, ham, and chicken, minced, canned, reduced sodium, added ascorbic acid, includes spam, 25% less sodium","luncheon meat, pork, ham, and chicken, minced, canned, reduced sodium, added ascorbic acid, includes spam, 25% less sodium",food_matches_801_to_1000.txt,"luncheon meat, pork, ham, and chicken, minced, canned, reduced sodium, added ascorbic acid, includes spam, 25% less sodium",True
"fast foods, burrito, with beans, cheese, and beef","fast foods, burrito, with beans, cheese, and beef",food_matches_801_to_1000.txt,"fast foods, burrito, with beans, cheese, and beef",True
"fast foods, english muffin, with cheese and sausage","fast foods, english muffin, with egg, cheese, and sausage",food_matches_801_to_1000.txt,"fast foods, english muffin, with cheese and sausage",False
"peas, split, mature seeds, cooked, boiled, without salt","peas, split, mature seeds, cooked, boiled, without salt",food_matches_801_to_1000.txt,"peas, split, mature seeds, cooked, boiled, without salt",True
"snacks, granola bar, general mills nature valley, sweet&salty nut, peanut","snacks, granola bar, general mills nature valley, sweet&salty nut, peanut",food_matches_801_to_1000.txt,"snacks, granola bar, general mills nature valley, sweet&salty nut, peanut",True
"mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt","mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",food_matches_801_to_1000.txt,"mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",True
"pears, canned, water pack, solids and liquids","pears, canned, water pack, solids and liquids",food_matches_801_to_1000.txt,"pears, canned, water pack, solids and liquids",True
"frozen novelties, ice type, pop","frozen novelties, ice type, pop",food_matches_801_to_1000.txt,"frozen novelties, ice type, pop",True
"rolls, hard (includes kaiser)","rolls, hard (includes kaiser)",food_matches_801_to_1000.txt,"rolls, hard (includes kaiser)",True
"fast foods, french toast sticks","fast foods, french toast sticks",food_matches_801_to_1000.txt,"fast foods, french toast sticks",True
"soybeans, mature seeds, roasted, salted","soybeans, mature seeds, roasted, salted",food_matches_801_to_1000.txt,"soybeans, mature seeds, roasted, salted",True
"spices, onion powder","spices, onion powder",food_matches_801_to_1000.txt,"spices, onion powder",True
"oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed","oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",food_matches_801_to_1000.txt,"oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",True
"beef, chuck for stew, separable lean and fat, all grades, cooked, braised","beef, chuck for stew, separable lean and fat, all grades, cooked, braised",food_matches_801_to_1000.txt,"beef, chuck for stew, separable lean and fat, all grades, cooked, braised",True
"soup, clam chowder, new england, canned, prepared with equal volume low fat (2%) milk","soup, clam chowder, new england, canned, prepared with equal volume low fat (2%) milk",food_matches_801_to_1000.txt,"soup, clam chowder, new england, canned, prepared with equal volume low fat (2%) milk",True
"pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised","pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised",food_matches_801_to_1000.txt,"pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised",True
"pork, cured, shoulder, arm picnic, separable lean only, roasted","pork, cured, shoulder, arm picnic, separable lean only, roasted",food_matches_801_to_1000.txt,"pork, cured, shoulder, arm picnic, separable lean only, roasted",True
"fish, haddock, raw","fish, haddock, raw",food_matches_801_to_1000.txt,"fish, haddock, raw",True
"pork, fresh, shoulder, (boston butt), blade (steaks), separable lean and fat, raw","pork, fresh, shoulder, (boston butt), blade (steaks), separable lean and fat, raw",food_matches_801_to_1000.txt,"pork, fresh, shoulder, (boston butt), blade (steaks), separable lean and fat, raw",True
"pork, fresh, shoulder, (boston butt), blade (steaks), separable lean and fat,with added solution, raw","pork, fresh, shoulder, (boston butt), blade (steaks), separable lean and fat, raw",food_matches_801_to_1000.txt,"pork, fresh, enhanced, shoulder, (boston butt), blade (steaks), separable lean and fat, raw",False
"beverages, fruit flavored drink containing less than 3% fruit juice, with high vitamin c","fruit flavored drink containing less than 3% fruit juice, with high vitamin c",food_matches_801_to_1000.txt,"fruit flavored drink containing less than 3% fruit juice, with high vitamin c",True
"blackberries, frozen, unsweetened","blackberries, frozen, unsweetened",food_matches_801_to_1000.txt,"blackberries, frozen, unsweetened",True
"candies, mars snackfood us, twix caramel cookie bars","candies, mars snackfood us, twix caramel cookie bars",food_matches_801_to_1000.txt,"candies, mars snackfood us, twix caramel cookie bars",True
"pork, fresh, shoulder, (boston butt), blade (steaks), separable lean only, cooked, braised","pork, fresh, shoulder, (boston butt), blade (steaks), separable lean only, cooked, braised",food_matches_801_to_1000.txt,"pork, fresh, shoulder, (boston butt), blade (steaks), separable lean only, cooked, braised",True
"capers, canned","capers, canned",food_matches_801_to_1000.txt,"capers, canned",True
"tomatoes, sun-dried","tomatoes, sun-dried",food_matches_801_to_1000.txt,"tomatoes, sun-dried",True
"fast foods, griddle cake sandwich, egg, cheese, and sausage","fast foods, griddle cake sandwich, egg, cheese, and sausage",food_matches_801_to_1000.txt,"fast foods, griddle cake sandwich, egg, cheese, and sausage",True
"snacks, popcorn, caramel-coated, with peanuts","snacks, popcorn, caramel-coated, with peanuts",food_matches_801_to_1000.txt,"snacks, popcorn, caramel-coated, with peanuts",True
"dressing, honey mustard, fat-free","dressing, honey mustard, fat-free",food_matches_801_to_1000.txt,"dressing, honey mustard, fat-free",True
"corn flour, masa, unenriched, white","corn flour, masa, unenriched, white",food_matches_801_to_1000.txt,"corn flour, masa, unenriched, white",True
"muffins, oat bran","muffins, oat bran",food_matches_801_to_1000.txt,"muffins, oat bran",True
"fast food, pizza chain, 14"" pizza, sausage topping, thin crust","fast food, pizza chain, 14"" pizza, sausage topping, thin crust",food_matches_801_to_1000.txt,"fast food, pizza chain, 14"" pizza, sausage topping, thin crust",True
"soup, cream of chicken, canned, condensed","soup, cream of chicken, canned, condensed",food_matches_801_to_1000.txt,"soup, cream of chicken, canned, condensed",True
"puddings, chocolate, dry mix, instant","puddings, chocolate, dry mix, instant",food_matches_801_to_1000.txt,"puddings, chocolate, dry mix, instant",True
"pork, fresh, shoulder, whole, separable lean only, cooked, roasted","pork, fresh, shoulder, whole, separable lean only, cooked, roasted",food_matches_801_to_1000.txt,"pork, fresh, shoulder, whole, separable lean only, cooked, roasted",True
"candies, white chocolate","candies, white chocolate",food_matches_801_to_1000.txt,"candies, white chocolate",True
"crackers, melba toast, plain","crackers, melba toast, plain",food_matches_801_to_1000.txt,"crackers, melba toast, plain",True
"cereals ready-to-eat, malt-o-meal, frosted flakes","cereals ready-to-eat, malt-o-meal, frosted flakes",food_matches_801_to_1000.txt,"cereals ready-to-eat, malt-o-meal, frosted flakes",True
"puddings, tapioca, ready-to-eat","puddings, tapioca, ready-to-eat",food_matches_801_to_1000.txt,"puddings, tapioca, ready-to-eat",True
"pizza, cheese topping, regular crust, frozen, cooked","pizza, cheese topping, regular crust, frozen, cooked",food_matches_801_to_1000.txt,"pizza, cheese topping, regular crust, frozen, cooked",True
